timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,bad_posture_command,alarm_notification,notification_interval,feedback,Unnamed: 0,Notes
14871097,2024-08-13 14:04:59,,,,,,,614.0,597.0,601.0,644.0,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14871097,2024-08-13 14:04:59,,,,,,,614.0,597.0,601.0,644.0,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14871107,2024-08-13 14:04:59,614.0,712.0,,,,,712.0,711.0,714.0,710.0,,,,,,,,,,,,0.0,,2,no,yes,5.0,1.0,,
14871107,2024-08-13 14:04:59,614.0,712.0,,,,,712.0,711.0,714.0,710.0,,,,,,,,,,,,0.0,,2,no,yes,5.0,1.0,,
14871117,2024-08-13 14:04:59,,,,,,,,,,,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14871227,2024-08-13 14:04:59,,,,,,,,,,,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14871227,2024-08-13 14:04:59,,,,,,,,,,,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14871297,2024-08-13 14:04:59,,,,,,,,,,,,,,,,,,,,,118.0,,,2,no,yes,5.0,1.0,,
14871597,2024-08-13 14:04:59,,,,,,,616.0,597.0,601.0,644.0,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14871597,2024-08-13 14:04:59,,,,,,,616.0,597.0,601.0,644.0,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14871597,2024-08-13 14:04:59,,,,,,,616.0,597.0,601.0,644.0,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14871607,2024-08-13 14:04:59,615.0,712.0,,,,,713.0,711.0,714.0,710.0,,,,,,,,,,,,0.0,,2,no,yes,5.0,1.0,,
14871607,2024-08-13 14:04:59,615.0,712.0,,,,,713.0,711.0,714.0,710.0,,,,,,,,,,,,0.0,,2,no,yes,5.0,1.0,,
14871617,2024-08-13 14:04:59,,,,,,,,,,,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14872097,2024-08-13 14:04:59,,,,,,,616.0,630.0,601.0,644.0,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14872097,2024-08-13 14:04:59,,,,,,,616.0,630.0,601.0,644.0,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14872097,2024-08-13 14:04:59,,,,,,,616.0,630.0,601.0,644.0,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14872107,2024-08-13 14:04:59,623.0,717.0,,,,,713.0,730.0,714.0,710.0,,,,,,,,,,,,0.0,,2,no,yes,5.0,1.0,,
